nom,nom_parent,xpath
MIQ3_Gr1,MIQ3,#Direct\ Planning\ Tree_2252 > div:nth-child(1) > img:nth-child(2)
MIQ3_Gr2,MIQ3,#Direct\ Planning\ Tree_3203 > div:nth-child(1) > img:nth-child(2)
